Title,Location,Rent,Bathrooms,BHK,Area,Rent_per_BHK,Area_per_BHK,Rent_per_sqft
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",69000,3.0,3.0,986,23000.0,328.6666666666667,69.97971602434077
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",100000,4.0,4.0,2000,25000.0,500.0,50.0
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore","Sparkle Marquise, Bannerghatta Main Road",55000,2.0,2.0,834,27500.0,417.0,65.94724220623502
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore","Godrej Woodsman Estate, Hebbal",59000,2.0,2.0,1302,29500.0,651.0,45.314900153609834
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",130000,5.0,4.0,3122,32500.0,780.5,41.639974375400385
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",33000,1.0,1.0,422,33000.0,422.0,78.19905213270142
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,45000,3.0,3.0,2100,15000.0,700.0,21.428571428571427
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",68000,3.0,3.0,1200,22666.666666666668,400.0,56.666666666666664
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore","Avalon Park At The Prestige City, Sarjapur Road",55000,3.0,3.0,1500,18333.333333333332,500.0,36.666666666666664
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",130000,5.0,4.0,2400,32500.0,600.0,54.166666666666664
